"","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"3658","NEF_GloFung-its2_453_2021",18.45,-65.91,56,0,0,0,0,0,0
"3666","NEF_GloFung-its2_460_2021",20.02,-75.78,32,420,180,408,424,72,355
"3667","NEF_GloFung-its2_461_2021",19.98,-75.84,32,566,154,384,728,68,403
"3668","NEF_GloFung-its2_462_2021",20.01,-75.64,32,593,145,337,882,56,372
"3669","NEF_GloFung-its2_463_2021",20.01,-75.62,32,593,156,305,859,56,427
"3670","NEF_GloFung-its2_464_2021",20.84,-76.13,32,504,213,439,435,70,374
"3671","NEF_GloFung-its2_465_2021",20.78,-76.3,32,262,213,401,347,71,332
"3672","NEF_GloFung-its2_466_2021",20.35,-76.55,32,254,206,407,333,69,314
"3673","NEF_GloFung-its2_467_2021",20.2,-76.45,32,668,294,278,919,60,327
"3674","NEF_GloFung-its2_468_2021",20.17,-76.51,32,587,248,332,708,61,361
"3675","NEF_GloFung-its2_469_2021",21.51,-77.04,105,909,286,343,1504,70,280
"3676","NEF_GloFung-its2_470_2021",22.35,-78.83,106,405,177,347,446,70,357
"3677","NEF_GloFung-its2_471_2021",22.3,-79.22,106,704,154,455,657,67,319
"3678","NEF_GloFung-its2_472_2021",22.16,-80.82,107,832,173,324,1146,68,339
"3679","NEF_GloFung-its2_473_2021",22.28,-81.19,107,0,0,0,0,0,0
"3680","NEF_GloFung-its2_474_2021",22.43,-81.15,107,880,186,309,1561,64,295
"3681","NEF_GloFung-its2_475_2021",22.6,-81.32,107,994,150,329,1493,66,274
"3682","NEF_GloFung-its2_476_2021",22.75,-83.38,30,476,279,234,611,59,279
"3683","NEF_GloFung-its2_477_2021",22.65,-83.71,30,507,264,240,579,60,318
"3684","NEF_GloFung-its2_478_2021",22.54,-83.71,30,445,237,242,516,59,330
"3685","NEF_GloFung-its2_479_2021",22.12,-83.97,30,0,0,0,0,0,0
"3691","NEF_GloFung-its2_485_2021",11.23,-73.83,53,451,335,264,482,60,290
"3692","NEF_GloFung-its2_486_2021",11.28,-74.01,53,436,339,255,475,65,308
"3693","NEF_GloFung-its2_487_2021",11.26,-73.7,53,0,0,0,0,0,0
"3694","NEF_GloFung-its2_488_2021",11.25,-73.67,53,0,0,0,0,0,0
"3695","NEF_GloFung-its2_489_2021",11.26,-73.6,53,0,0,0,0,0,0
"3696","NEF_GloFung-its2_490_2021",12.21,-72.18,109,0,0,0,0,0,0
"3697","NEF_GloFung-its2_491_2021",11.37,-73.12,109,0,0,0,0,0,0
"3698","NEF_GloFung-its2_492_2021",11.31,-73.93,53,0,0,0,0,0,0
"3699","NEF_GloFung-its2_493_2021",-2.58,-60.03,110,217,450,156,290,41,205
"3700","NEF_GloFung-its2_494_2021",-2.57,-60.02,110,230,453,145,319,41,225
"3701","NEF_GloFung-its2_495_2021",-2.59,-60.03,110,224,425,170,290,40,236
"3705","NEF_GloFung-its2_499_2021",-2.57,-60.32,110,231,356,179,334,40,346
"3706","NEF_GloFung-its2_500_2021",-2.56,-60.32,110,213,362,161,317,40,283
"3706.1","NEF_GloFung-its2_500_2021",-2.56,-60.32,110,213,362,161,317,40,283
"3708","NEF_GloFung-its2_501_2021",-2.56,-60.33,110,222,386,167,319,40,293
"3706.2","NEF_GloFung-its2_500_2021",-2.56,-60.32,110,213,362,161,317,40,283
"3706.3","NEF_GloFung-its2_500_2021",-2.56,-60.32,110,213,362,161,317,40,283
"3711","NEF_GloFung-its2_502_2021",-3.04,-60.77,110,256,345,138,307,41,335
"3712","NEF_GloFung-its2_503_2021",-3.08,-60.78,110,270,317,131,265,42,358
"3713","NEF_GloFung-its2_504_2021",-3.09,-60.84,110,257,368,130,261,40,272
"3714","NEF_GloFung-its2_505_2021",-1.97,-61.49,112,229,309,145,416,42,320
"3715","NEF_GloFung-its2_506_2021",-1.96,-61.44,112,250,328,153,382,43,268
"3716","NEF_GloFung-its2_507_2021",-1.94,-61.45,112,0,0,0,0,0,0
