"","...1","new.ID","Latitude","Longitude","groups","nitrogen","sand","cec","soc","phh2o","silt"
"180",181,"NEF_diam_CSG8_2025",5.222,-52.847,1,412,337,199,650,45,334
"181",182,"NEF_diam_FRG_2025",4.313,-52.236,1,417,313,193,604,45,346
"182",183,"NEF_diam_GALP1_2025",3.6,-53.27,13,540,321,182,722,46,275
"183",184,"NEF_diam_GALP2_2025",3.601,-53.267,13,493,324,184,763,46,273
"184",185,"NEF_diam_GALP3_2025",3.604,-53.267,13,439,334,194,707,47,269
"185",186,"NEF_diam_GALP4_2025",3.589,-53.283,13,596,359,199,889,46,299
"186",187,"NEF_diam_GALP5_2025",3.604,-53.281,13,453,346,185,689,46,259
"187",188,"NEF_diam_GALP6_2025",3.596,-53.277,13,547,320,187,719,45,284
"188",189,"NEF_diam_GALP7_2025",3.607,-53.288,13,581,313,169,790,46,284
"189",190,"NEF_diam_GALP8_2025",3.602,-53.275,13,509,353,189,762,46,279
"190",191,"NEF_diam_GUY_2025",4.568,-52.179,1,368,299,194,691,46,378
"191",192,"NEF_diam_IT01_2025",3.027,-53.077,13,550,283,177,701,46,324
"192",193,"NEF_diam_IT02_2025",3.022,-53.084,13,446,310,191,605,46,280
"193",194,"NEF_diam_IT03_2025",3.016,-53.087,13,439,311,188,584,46,280
"194",195,"NEF_diam_IT04_2025",3.033,-53.096,13,438,321,172,604,46,281
"195",196,"NEF_diam_IT05_2025",3.023,-53.097,13,417,332,181,528,48,270
"196",197,"NEF_diam_IT06_2025",3.013,-53.1,13,403,382,178,537,47,286
"197",198,"NEF_diam_IT07_2025",3.034,-53.105,13,433,394,171,491,47,291
"198",199,"NEF_diam_IT08_2025",3.022,-53.106,13,430,383,179,502,48,301
"199",200,"NEF_diam_IT09_2025",3.017,-53.108,13,407,419,180,502,48,269
"200",201,"NEF_diam_KAPTF_2025",4.15,-52.202,1,352,330,207,732,46,287
"201",202,"NEF_diam_KAPBF_2025",4.153,-52.202,1,411,352,208,629,45,279
"202",203,"NEF_diam_KAW70-C_2025",4.557,-52.21,1,404,347,173,570,47,338
"203",204,"NEF_diam_KAW71-G_2025",4.568,-52.178,1,358,292,195,694,46,371
"204",205,"NEF_diam_KAW72-T_2025",4.608,-52.28,1,426,338,194,653,45,333
"205",206,"NEF_diam_KOT1_2025",3.943,-54.184,14,443,362,176,548,46,281
"206",207,"NEF_diam_KOT10_2025",3.955,-54.184,14,450,385,179,585,46,262
"207",208,"NEF_diam_KOT2_2025",3.939,-54.186,14,438,359,186,511,45,284
"208",209,"NEF_diam_KOT3_2025",3.933,-54.186,14,424,384,185,544,46,245
"209",210,"NEF_diam_KOT4_2025",3.934,-54.195,14,398,395,161,587,46,256
"210",211,"NEF_diam_KOT5_2025",3.931,-54.194,14,410,416,163,580,46,240
"211",212,"NEF_diam_KOT6_2025",3.937,-54.191,14,476,343,182,546,45,281
"212",213,"NEF_diam_KOT7_2025",3.931,-54.202,14,422,374,149,536,46,279
"213",214,"NEF_diam_KOT8_2025",3.93,-54.197,14,419,375,147,528,45,284
"214",215,"NEF_diam_KOT9_2025",3.936,-54.198,14,434,378,149,564,46,271
"215",216,"NEF_diam_LAU1_2025",5.479,-53.597,12,533,328,198,609,45,349
"216",217,"NEF_diam_LAU2_2025",5.484,-53.596,12,467,318,185,643,45,388
"217",218,"NEF_diam_LAU21_2025",5.465,-53.587,12,518,427,175,724,43,268
"218",219,"NEF_diam_LAU3_2025",5.475,-53.587,12,445,385,173,603,44,288
"219",220,"NEF_diam_LAU4_2025",5.482,-53.576,12,518,344,187,740,44,326
"220",221,"NEF_diam_LAU5_2025",5.485,-53.591,12,450,368,191,668,44,323
"221",222,"NEF_diam_LAU6_2025",5.469,-53.58,12,454,439,185,689,44,209
"222",223,"NEF_diam_LAU7_2025",5.471,-53.579,12,386,344,200,656,44,281
"223",224,"NEF_diam_LAU8_2025",5.472,-53.593,12,490,338,194,612,45,336
"224",225,"NEF_diam_LAU9_2025",5.463,-53.58,12,490,389,182,680,44,276
"225",226,"NEF_diam_MAIBF_2025",5.144,-53.996,12,312,431,171,664,44,250
"226",227,"NEF_diam_MAITF_2025",5.143,-53.997,12,302,419,164,632,44,257
"227",228,"NEF_diam_MIT1_2025",2.244,-54.459,15,269,391,131,362,44,286
"228",229,"NEF_diam_MIT2_2025",2.239,-54.453,15,326,383,136,357,44,285
"229",230,"NEF_diam_MIT3_2025",2.244,-54.464,15,313,389,138,337,45,287
"230",231,"NEF_diam_MIT7_2025",2.234,-54.443,15,288,352,135,328,44,282
"231",232,"NEF_diam_MIT8_2025",2.235,-54.445,15,281,365,137,311,44,276
"232",233,"NEF_diam_MIT9_2025",2.239,-54.449,15,306,401,134,342,44,271
"233",234,"NEF_diam_MIT10_2025",2.216,-54.457,15,283,336,138,319,47,324
"234",235,"NEF_diam_MIT11_2025",2.228,-54.454,15,299,336,145,311,45,331
"235",236,"NEF_diam_MIT12_2025",2.234,-54.452,15,287,390,133,351,44,281
"236",237,"NEF_diam_MRA_2025",4.912,-52.259,1,0,0,0,0,0,0
"237",238,"NEF_diam_MTO_2025",4.219,-52.412,1,445,336,198,658,46,314
"238",239,"NEF_diam_NOU31_2025",4.083,-52.684,1,418,337,175,546,46,294
"239",240,"NEF_diam_NOU32_2025",4.083,-52.681,1,411,337,176,526,46,267
"240",241,"NEF_diam_NOU33_2025",4.088,-52.675,1,356,358,174,532,45,275
"241",242,"NEF_diam_NOU34_2025",4.084,-52.673,1,371,361,187,569,46,263
"242",243,"NEF_diam_NOU35_2025",4.087,-52.67,1,345,374,180,552,45,261
"243",244,"NEF_diam_NOU36_2025",4.091,-52.674,1,392,379,170,684,46,290
"244",245,"NEF_diam_NOU37_2025",4.077,-52.681,1,370,342,177,536,46,258
"245",246,"NEF_diam_NOU38_2025",4.097,-52.685,1,390,346,175,622,46,323
"246",247,"NEF_diam_ORG0_2025",5.474,-53.485,12,524,335,194,669,46,333
"247",248,"NEF_diam_ORG1_2025",5.475,-53.488,12,555,331,197,675,46,337
"248",249,"NEF_diam_PAR-A-BF_2025",5.276,-52.929,1,461,315,203,673,45,365
"249",250,"NEF_diam_PAR-A-PL_2025",5.272,-52.94,1,442,288,203,619,45,359
"250",251,"NEF_diam_PAR-A-PT_2025",5.274,-52.932,1,471,284,185,659,45,384
"251",252,"NEF_diam_PAR-B-BF_2025",5.252,-52.926,1,378,325,168,624,46,325
"252",253,"NEF_diam_PAR-B-PL_2025",5.257,-52.921,1,394,339,169,653,47,292
"253",254,"NEF_diam_PAR-B-PT_2025",5.26,-52.918,1,424,337,172,684,45,334
"254",255,"NEF_diam_PAT_2025",5.41,-53.178,12,417,340,161,621,48,376
"255",256,"NEF_diam_PE1_2025",-3.975,-73.426,16,313,285,179,889,45,383
"256",257,"NEF_diam_PE2_2025",-3.976,-73.427,16,313,285,179,889,45,383
"257",258,"NEF_diam_PE3_2025",-3.918,-73.553,16,345,374,193,719,44,329
"258",259,"NEF_diam_PE4_2025",-3.892,-73.553,16,316,413,186,825,45,322
"259",260,"NEF_diam_PE5_2025",-3.892,-73.56,16,326,404,189,637,45,323
"260",261,"NEF_diam_PE6_2025",-3.905,-73.802,16,377,307,210,678,45,378
"261",262,"NEF_diam_PE7_2025",-3.876,-73.864,16,355,311,212,694,44,382
"262",263,"NEF_diam_PE8_2025",-3.906,-73.801,16,377,307,210,678,45,378
"263",264,"NEF_diam_PE9_2025",-3.89,-73.82,16,358,376,219,808,45,345
"264",265,"NEF_diam_PE10_2025",-3.833,-73.598,16,304,325,216,621,46,367
