PermanentID,location,morrone_biogeoregions_Region,morrone_biogeoregions_Dominio,morrone_biogeoregions_Provincias,climenv_holdridge_class,“”,morrone_biogeoregions_Provincias,ND,algal_parasite,animal-associated,animal_endosymbiont,animal_parasite,arbuscular_mycorrhizal,arthropod-associated,dung_saprotroph,ectomycorrhizal,epiphyte,ericoid_mycorrhizal,foliar_endophyte,lichen_parasite,lichenized,litter_saprotroph,moss_symbiont,mycoparasite,nectar/tap_saprotroph,plant_pathogen,pollen_saprotroph,protistan_parasite,root_endophyte,soil_saprotroph,sooty_mold,unspecified,unspecified_pathotroph,unspecified_saprotroph,unspecified_symbiotroph,wood_saprotroph,sample_type,Sum,Count,% ECM per sample,% ECM per sample_ok,, Hill_q0,  Hill_q1
GF01003463S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003463S,N/A,26,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,2,0,0,0,5,0,0,0,5,0,0,soil,46,7,2.173913043,2.173913043,,7,3.948699
GF01003465S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003465S,N/A,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,3,0,0,0,3,0,0,soil,31,6,0,0,,6,3.609197
GF01003472S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003472S,N/A,14,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,1,0,0,0,3,0,0,0,2,0,0,soil,27,7,0,0,,7,4.288686
GF01003473S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003473S,N/A,31,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,1,0,1,0,0,0,5,0,0,0,2,0,1,soil,48,9,2.083333333,2.083333333,,9,3.630015
GF01003474S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003474S,N/A,23,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,5,0,0,0,2,0,1,soil,35,8,2.857142857,2.857142857,,8,3.405366
GF01003475S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003475S,N/A,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,0,0,0,1,0,1,soil,23,6,0,0,,6,4.032375
GF01003476S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003476S,N/A,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,1,5,0,0,0,3,0,0,soil,30,7,0,0,,7,4.9001
GF01003479S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003479S,N/A,22,0,0,0,2,0,0,1,0,0,0,0,0,0,5,0,1,0,2,1,0,0,5,0,0,0,3,0,0,soil,42,9,0,0,,9,4.907999
GF01003480S,South Georgia and the South Sandwich Islands: Bird Island,N/A,N/A,N/A,Wet forest,GF01003480S,N/A,19,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,1,0,3,0,0,0,3,0,0,0,3,0,0,soil,36,7,0,0,,7,4.289756
GF01004716S,"Mexico, Alvaro Obregon",N/A,N/A,N/A,Very dry forest,GF01004716S,N/A,166,0,0,0,1,22,0,7,1,0,0,1,2,6,13,0,1,0,40,0,0,2,17,1,0,0,4,0,16,soil,300,16,0.333333333,0.333333333,,16,5.094128
