"","new.ID","PermanentID","sequencing_platform","NEF.dataset"
"1631","NEF_GloFung-its1_592_2021","GF04001123S","Illumina","ITS1"
"1632","NEF_GloFung-its1_591_2021","GF04001122S","Illumina","ITS1"
"1633","NEF_GloFung-its1_592_2021","GF04001120S","Illumina","ITS1"
"1634","NEF_GloFung-its1_596_2021","GF04001114S","Illumina","ITS1"
"1635","NEF_GloFung-its1_597_2021","GF04001111S","Illumina","ITS1"
"1636","NEF_GloFung-its1_590_2021","GF04001109S","Illumina","ITS1"
"1637","NEF_GloFung-its1_594_2021","GF04001108S","Illumina","ITS1"
"1638","NEF_GloFung-its1_594_2021","GF04001107S","Illumina","ITS1"
"1639","NEF_GloFung-its1_596_2021","GF04001106S","Illumina","ITS1"
"1640","NEF_GloFung-its1_597_2021","GF04001105S","Illumina","ITS1"
"1641","NEF_GloFung-its1_591_2021","GF04001102S","Illumina","ITS1"
"1642","NEF_GloFung-its1_593_2021","GF04001101S","Illumina","ITS1"
"1643","NEF_GloFung-its1_593_2021","GF04001099S","Illumina","ITS1"
"1644","NEF_GloFung-its1_590_2021","GF04001095S","Illumina","ITS1"
"1645","NEF_GloFung-its1_596_2021","GF04001094S","Illumina","ITS1"
"1646","NEF_GloFung-its1_593_2021","GF04001088S","Illumina","ITS1"
"1647","NEF_GloFung-its1_592_2021","GF04001087S","Illumina","ITS1"
"1648","NEF_GloFung-its1_595_2021","GF04001085S","Illumina","ITS1"
"1649","NEF_GloFung-its1_589_2021","GF04001079S","Illumina","ITS1"
"1650","NEF_GloFung-its1_597_2021","GF04001074S","Illumina","ITS1"
"1651","NEF_GloFung-its1_597_2021","GF04001073S","Illumina","ITS1"
"1652","NEF_GloFung-its1_593_2021","GF04001072S","Illumina","ITS1"
"1653","NEF_GloFung-its1_589_2021","GF04001071S","Illumina","ITS1"
"1654","NEF_GloFung-its1_591_2021","GF04001069S","Illumina","ITS1"
"1655","NEF_GloFung-its1_592_2021","GF04001067S","Illumina","ITS1"
"1656","NEF_GloFung-its1_595_2021","GF04001066S","Illumina","ITS1"
"1657","NEF_GloFung-its1_592_2021","GF04001065S","Illumina","ITS1"
"1658","NEF_GloFung-its1_597_2021","GF04001064S","Illumina","ITS1"
"1659","NEF_GloFung-its1_594_2021","GF04001063S","Illumina","ITS1"
"1660","NEF_GloFung-its1_593_2021","GF04001061S","Illumina","ITS1"
"1661","NEF_GloFung-its1_593_2021","GF04001053S","Illumina","ITS1"
"1662","NEF_GloFung-its1_589_2021","GF04001048S","Illumina","ITS1"
"1663","NEF_GloFung-its1_592_2021","GF04001047S","Illumina","ITS1"
"1664","NEF_GloFung-its1_596_2021","GF04001046S","Illumina","ITS1"
"1665","NEF_GloFung-its1_598_2021","GF04001045S","Illumina","ITS1"
"1666","NEF_GloFung-its1_593_2021","GF04001044S","Illumina","ITS1"
"1667","NEF_GloFung-its1_590_2021","GF04001039S","Illumina","ITS1"
"1668","NEF_GloFung-its1_592_2021","GF04001035S","Illumina","ITS1"
