"","new.ID","PermanentID","sequencing_platform","NEF.dataset"
"1558","NEF_GloFung-its1_567_2021","GF04004459S","Illumina","ITS1"
"1559","NEF_GloFung-its1_577_2021","GF04004458S","Illumina","ITS1"
"1560","NEF_GloFung-its1_573_2021","GF04004457S","Illumina","ITS1"
"1561","NEF_GloFung-its1_575_2021","GF04004456S","Illumina","ITS1"
"1562","NEF_GloFung-its1_568_2021","GF04004455S","Illumina","ITS1"
"1563","NEF_GloFung-its1_563_2021","GF04004454S","Illumina","ITS1"
"1564","NEF_GloFung-its1_568_2021","GF04004453S","Illumina","ITS1"
"1565","NEF_GloFung-its1_573_2021","GF04004452S","Illumina","ITS1"
"1566","NEF_GloFung-its1_587_2021","GF04004451S","Illumina","ITS1"
"1567","NEF_GloFung-its1_575_2021","GF04004450S","Illumina","ITS1"
"1568","NEF_GloFung-its1_567_2021","GF04004449S","Illumina","ITS1"
"1569","NEF_GloFung-its1_567_2021","GF04004448S","Illumina","ITS1"
"1570","NEF_GloFung-its1_582_2021","GF04004447S","Illumina","ITS1"
"1571","NEF_GloFung-its1_566_2021","GF04004446S","Illumina","ITS1"
"1572","NEF_GloFung-its1_568_2021","GF04004445S","Illumina","ITS1"
"1573","NEF_GloFung-its1_577_2021","GF04004444S","Illumina","ITS1"
"1574","NEF_GloFung-its1_575_2021","GF04004443S","Illumina","ITS1"
"1575","NEF_GloFung-its1_563_2021","GF04004442S","Illumina","ITS1"
"1576","NEF_GloFung-its1_564_2021","GF04004441S","Illumina","ITS1"
"1577","NEF_GloFung-its1_586_2021","GF04004440S","Illumina","ITS1"
"1578","NEF_GloFung-its1_568_2021","GF04004439S","Illumina","ITS1"
"1579","NEF_GloFung-its1_587_2021","GF04004438S","Illumina","ITS1"
"1580","NEF_GloFung-its1_566_2021","GF04004437S","Illumina","ITS1"
"1581","NEF_GloFung-its1_579_2021","GF04004436S","Illumina","ITS1"
"1582","NEF_GloFung-its1_568_2021","GF04004435S","Illumina","ITS1"
"1583","NEF_GloFung-its1_563_2021","GF04004434S","Illumina","ITS1"
