PermanentID,Longitude,Latitude,continent,country
GF05013167S,-63.5181,-18.1692,South America,Bolivia
GF05013165S,-66.3442,-17.5814,South America,Bolivia
GF05013158S,-85.6081,10.8483,North America,Costa Rica
GF05013155S,-110.7856,32.4403,North America,USA
GF05013150S,-83.705,22.5431,North America,Cuba
GF05013149S,-64.9406,-32.7689,South America,Argentina
GF05013148S,-75.6167,20.0064,North America,Cuba
GF05013135S,-72.1131,-0.5628,South America,Colombia
GF05013134S,-66.9667,18.1447,North America,Puerto Rico
GF05013132S,-64.6603,18.4044,North America,Virgin Islands
GF05013131S,-61.34,15.375,North America,Dominica
GF05013130S,-61.7447,16.1856,North America,Guadeloupe
GF05013126S,-38.8819,-4.4769,South America,Brazil
GF05013125S,-39.8911,-18.0997,South America,Brazil
GF05013124S,-39.1928,-8.4558,South America,Brazil
GF05013123S,-69.8975,-4.0086,South America,Colombia
GF05013122S,-37.4833,-11.6647,South America,Brazil
GF05013121S,-44.6706,-22.3978,South America,Brazil
GF05013120S,-54.4308,-25.6911,South America,Brazil
GF05013113S,-63.9519,-32.6047,South America,Argentina
GF05013102S,-105.0486,19.5083,North America,Mexico
GF05013092S,-75.25,4.8669,South America,Colombia
GF05013090S,-47.9275,-25.1008,South America,Brazil
GF05013083S,-45.0836,-23.3167,South America,Brazil
GF05013082S,-44.6706,-22.3981,South America,Brazil
GF05013081S,-75.4667,6.705,South America,Colombia
GF05013074S,-47.5569,-14.7919,South America,Brazil
GF05013068S,-64.9344,-23.9186,South America,Argentina
GF05013063S,-61.7317,16.1783,North America,France
GF05013060S,-89.1725,19.9583,North America,Mexico
GF05013059S,-87.4775,20.1958,North America,Mexico
GF05013054S,-66.2608,-28.8781,South America,Argentina
GF05013041S,-72.1731,-40.6653,South America,Chile
GF05013040S,-67.0914,-29.9697,South America,Argentina
GF05013035S,-84.5992,10.2211,North America,Costa Rica
GF05012993S,-74.0114,11.2842,South America,Colombia
GF05012983S,-70.3636,-3.7739,South America,Colombia
GF05012978S,-39.1928,-8.4558,South America,Brazil
GF05012966S,-47.4806,-13.5606,South America,Brazil
GF05012963S,-69.9481,-4.1231,South America,Colombia
GF05012962S,-73.79,5.0964,South America,Colombia
GF05012955S,-48.8525,-15.81,South America,Brazil
GF05012954S,-45.2167,-23.435,South America,Brazil
GF05012937S,-94.35,30.4694,North America,USA
GF05012936S,-87.1933,21.21,North America,Mexico
GF05012931S,-65.8167,18.3167,North America,Puerto Rico
GF05012928S,-60.0881,5.4356,South America,Guyana
GF05012924S,-82.4417,29.735,North America,USA
GF05012923S,-73.0967,-44.0742,South America,Chile
